Name,ID,Instagram,Wikipedia,SpotifyFollowers,MonthlyListeners,Singles,TopTrackPlays,EarliestAlbum,MonthSinceRelease,Albums,AppearsOn,DiscoveredOn
Ingrid Andress,0jPnVIasXzBYjrlpO5irii,https://instagram.com/ingridandress,https://en.wikipedia.org/wiki/ingrid_andress,100874,3818516,11,106266905,2020-03-27,29,2,84,92
Rhett Walker,4ImxhwjNOz0es0voxGHCoP,https://instagram.com/rhettwalkerband,https://en.wikipedia.org/wiki/Rhett_Walker_Band,69030,387680,20,15457681,2012-07-06,121,4,10,93
Maxwell Udoh,7sBObaY7xVN3bDVU9AW8O9,-1,-1,1174,45758,2,1757704,1986-01-01,439,3,3,94
Mdou Moctar,48dgx7iGqLQ3E5KO3pzd94,https://instagram.com/mdou_moctar,https://en.wikipedia.org/wiki/Mdou_Moctar,86334,198091,12,2058154,2013-07-17,109,9,5,93
osquinn,4zHXosXM1COlq8nGN1Q9gO,-1,-1,6460,753,1,41419,-1,-1,0,0,9
PKF – Prague Philharmonia,4lnqr8PGdrwgyUeRfzHoZX,-1,-1,53,104795,3,2240743,2006-01-01,199,4,52,92
TCY FORCE,1ze8z08s9wniPnN6WI2sHe,-1,-1,4169,182159,0,974405,2010-12-29,140,2,0,93
Zerky,3DAlQBPv5zWasPxV5Tr8ok,-1,-1,14051,646905,27,18386501,-1,-1,0,29,93
Outlawz,2jp3Fk52x0HbymU0lNYbSC,-1,-1,234058,452118,14,29764389,2015-08-04,84,26,160,89
Black Veil Brides,6O7MpKrY91vlCd4Osi6XKs,https://instagram.com/blackveilbrides,-1,1736972,1972899,8,142939001,2010-07-20,145,10,10,85
Kha Structure,1npzTrxFene8P6jap4i0Qz,-1,-1,11845,98972,25,1946385,-1,-1,0,6,94
